Include,Name,UNC,County,LAT,LON,ptorg name,Licensed Name (2017),Facility_ID,Beds,ICU Beds
1,Murphy Medical Center,0,Cherokee,35.07282125,-83.96709011,Murphy Medical Center,"Murphy Medical Center, Inc.",943366,57,6
1,Nash Health Care System,1,Nash,35.97620545,-77.85358506,Nash Health Care System,Nash General Hospital,933368,262,18
1,New Hanover Regional Medical Center,0,New Hanover,34.2050891,-77.92105615,New Hanover Regional Medical Center,New Hanover Regional Medical Center,943372,647,105
0,North Carolina Specialty Hospital,0,Durham,36.04305485,-78.89685681,North Carolina Specialty Hospital,North Carolina Specialty Hospital,943374,18,0
1,Northern Hospital of Surry County,0,Surry,36.48911485,-80.61229628,Northern Hospital Of Surry County,Northern Hospital of Surry County,953376,100,10
1,Novant Health Brunswick Medical Center,0,Brunswick,34.008957,-78.290123,Novant Health Brunswick Medical Center,Novant Health Brunswick Medical Center,61342,74,5
0,Novant Health Charlotte Orthopedic Hospital,0,Mecklenburg,35.210739,-80.823624,Novant Health Charlotte Orthopedic Hospital,Novant Health Charlotte Orthopedic Hospital,953416,64,0
0,Novant Health Clemmons Medical Center,0,Clemmons,36.02823,-80.39811,Novant Health Clemmons Medical Center,,,,
1,Novant Health Forsyth Medical Center,0,Forsyth,36.076046,-80.296875,Novant Health Forsyth Medical Center,Novant Health Forsyth Medical Center,923174,823,148
1,Novant Health Huntersville Medical Center,0,Mecklenburg,35.4064661,-80.8600158,Novant Health Huntersville Medical Center,Novant Health Huntersville Medical Center,990440,91,8
0,Novant Health Kernersville Medical Center,0,Forsyth,36.091309,-80.044022,Novant Health Kernersville Medical Center,Novant Health Kernersville Medical Center,,100,4
1,Novant Health Matthews Medical Center,0,Mecklenburg,35.120087,-80.714058,Novant Health Matthews Medical Center,Novant Health Matthews Medical Center,945076,154,18
1,Novant Health Medical Park Hospital,0,Forsyth,36.07897555,-80.29607896,Novant Health Medical Park Hospital,Novant Health Medical Park Hospital,943343,22,0
1,Novant Health Presbyterian Medical Center,0,Mecklenburg,35.21243755,-80.82430051,Novant Health Presbyterian Medical Center,Novant Health Presbyterian Medical Center,943501,567,93
1,Novant Health Rowan Medical Center,0,Rowan,35.6816495,-80.47113042,Novant Health Rowan Medical Center,Novant Health Rowan Medical Center,933436,203,20
1,Novant Health Thomasville Medical Center,0,Davidson,35.87981,-80.111618,Novant Health Thomasville Medical Center,Novant Health Thomasville Medical Center,923112,101,13
1,Onslow Memorial Hospital,0,Onslow,34.76247565,-77.38533118,Onslow Memorial Hospital,"Onslow Memorial Hospital, Inc.",923383,162,30
1,Outer Banks Hospital,0,Dare,35.93964995,-75.61819547,Outer Banks Hospital,"The Outer Banks Hospital, Inc.",980550,21,2
1,Park Ridge Health,0,Henderson,35.389938,-82.488152,Park Ridge Health,Park Ridge Health,943388,62,6
1,Pender Memorial Hospital,0,Pender,34.5505574,-77.91980849,Pender Memorial Hospital,"Pender Memorial Hospital, Inc.",923394,43,4
1,Person County Memorial Hospital,0,Person,36.40848405,-78.98524838,Person County Memorial Hospital,Person Memorial Hospital,953396,38,4
1,Randolph Hospital,0,Randolph,35.711632,-79.813751,Randolph Hospital,"Randolph Hospital, Inc.",933425,145,10
1,Rex Healthcare,1,Wake,35.8181161,-78.7032625,Rex Healthcare,Rex Hospital,953429,439,83
1,Rutherford Hospital,0,Rutherford,35.362175,-81.966125,Rutherford Hospital,Rutherford Regional Medical Center,923438,129,10
1,Saint Luke's Hospital,0,Polk,35.2394986,-82.21258881,Saint Luke'S Hospital,St. Luke's Hospital,943469,25,3
1,Sampson County Memorial Hospital,0,Sampson,35.0070507,-78.3248125,Sampson County Memorial Hospital,Sampson Regional Medical Center,943443,116,8
1,Scotland Health Care System,0,Scotland,34.75325,-79.469597,Scotland Health Care System,Scotland Memorial Hospital and Edwin Morgan Center,933446,97,12
1,Sentara Albemarle Medical Center,0,Pasquotank,36.32361625,-76.21861903,Sentara Albemarle Medical Center,Sentara Albemarle Medical Center,952933,182,10
1,Southeastern Regional Medical Center,0,Robeson,34.6372399,-79.0119809,Southeastern Regional Medical Center,Southeastern Regional Medical Center,923461,292,32
1,Stanly Regional Medical Center,0,Stanly,35.3640747,-80.19445209,Stanly Regional Medical Center,Carolinas HealthCare System Stanly,953472,97,10
1,Transylvania Regional Hospital,0,Transylvania,35.2560121,-82.71182466,Transylvania Regional Hospital,"Transylvania Regional Hospital, Inc.",923509,42,4
0,UNC Hillsborough,0,Orange,36.0746,-79.09635,Unc Hillsborough,,,,
1,UNC Rockingham Health Center,0,Rockingham,36.495174,-79.738716,Unc Rockingham Health Center,UNC Rockingham Hospital,943359,108,8
1,Union Regional Medical Center,0,Union,34.710281,-81.63047,Union Regional Medical Center,Carolinas HealthCare System Union,923515,182,18
1,University of North Carolina Hospitals,1,Orange,35.903605,-79.050667,University Of North Carolina Hospitals,University of North Carolina Hospitals,923517,799,201
1,Vidant Beaufort Hospital,0,Beaufort,35.54923895,-77.03809766,Vidant Beaufort Hospital,Vidant Beaufort Hospital,932963,120,6
1,Vidant Bertie Hospital,0,Bertie,35.9885957,-76.92894313,Vidant Bertie Hospital,Vidant Bertie  Hospital,942967,6,1
1,Vidant Chowan Hospital,0,Chowan,36.06984615,-76.61089791,Vidant Chowan Hospital,Vidant Chowan Hospital,933102,49,5
1,Vidant Duplin Hospital,0,Duplin,34.9648246,-77.96186573,Vidant Duplin Hospital,Vidant Duplin  Hospital,923139,56,9
1,Vidant Edgecombe Hospital,0,Edgecombe,35.9212473,-77.55575659,Vidant Edgecombe Hospital,Vidant Edgecombe Hospital,923247,101,8
1,Vidant Medical Center,0,Pitt,35.60759855,-77.40290417,Vidant Medical Center,Vidant Medical Center,933410,782,180
1,Vidant Roanoke-Chowan Hospital,0,Hertford,36.28533865,-76.99505917,Vidant Roanoke-Chowan Hospital,Vidant Roanoke-Chowan Hospital,923435,86,10
1,Wake Forest Baptist Health - Wilkes Medical Center,0,Wilkes,36.160051,-81.15823652,Wilkes Medical Center Patient County Of Residence By Hospital,Wilkes Regional Medical Center,943561,120,8
1,Wake Forest Baptist Medical Center,0,Forsyth,36.08983775,-80.26771223,Wake Forest Baptist Medical Center,North Carolina Baptist Hospital,943495,802,176
1,WakeMed,0,Wake,35.784519,-78.587952,Wakemed,WakeMed,943528,628,134
0,WakeMed Cary,0,Wake,35.74039165,-78.78147066,Wakemed Cary,WakeMed Cary Hospital,990332,178,12
0,WakeMed North Family Health& Woman's Hospital,0,Wake,35.909081,-78.597839,Wakemed North Family Health& Woman'S Hospital,WakeMed North Family Health& Woman's Hospital,,100,0
1,Washington County Hospital,0,Washington,35.8626691,-76.72941164,Washington County Hospital,Washington County Hospital,953531,49,5
1,Watauga Medical Center,0,Watauga,36.19853665,-81.65108916,Watauga Medical Center,"Watauga Medical Center, Inc.",933533,117,12
1,Wayne Memorial Hospital,1,Wayne,35.398601,-77.951922,Wayne Memorial Hospital,Wayne UNC Healthcare,933535,255,15
1,Wilson Memorial Hospital,0,Wilson,35.71872625,-77.94366324,Wilson Memorial Hospital,Wilson Medical Center,923569,270,0
